IP_ID,Cluster,Poly_x,Poly_y,Area_km2,PAratio,Wtb_prct,Glc_prct,Elev_avg,Elev_max,Slpe_avg,Slpe5,Slpe10,MAP_avg,PAS_avg,PrctSnow,MAT_avg,MSP_avg,TD_avg,Eref_avg,VegHt_avg
20533,3,-1905568.98389946,1274069.08812519,20.2994628387,1.78268326654745,0,0,249.158659669,552,9.56861556531,22.5011113765,56.4457942614,1367.47368421,63.4210526316,4.6378261873638,8.84210526316,182.210526316,12.4210526316,643.263157895,22.2857142857142
20534,3,-1937080.02611654,1288684.13449237,65.9344513995,0.673277280949184,0,0,371.602269893,773,9.94721930068,15.7290393102,52.6393054604,2641.37704918,189.606557377,7.17832228594029,7.86885245902,370.442622951,11.7868852459,598.393442623,26.5221238938053
20535,3,-1915759.51277495,1276224.43261918,49.5916975793,1.33284889987854,0.490050050726,0,211.875414731,835,7.03890681684,40.696144488,75.6693698781,1658.60416667,89.9166666667,5.42122517678384,8.72916666667,221.729166667,11.6875,628.083333333,22
20537,3,-1949017.07622855,1300909.88006271,45.3161084834,0.960114286186971,7.55548652486e-4,0,243.244812523,837,8.28920469588,21.2785377253,69.5466313207,3118.83333333,185.738095238,5.95537097968893,7.97619047619,464.5,11.380952381,587.785714286,25.4125
20538,3,-1956255.8176362,1307466.27479351,19.7650384677,1.24167689256986,0,0,197.245942572,467,9.95870690608,26.642143551,64.6709852456,2926.94117647,118.529411765,4.04960006432213,8.41176470588,481.235294118,10.7647058824,591.529411765,25.75
20540,3,-1960948.04119567,1313016.57847487,49.1896753365,0.878893313555084,0.288458483373,0,365.234676882,986,10.4965937113,20.0236002078,57.1396386593,3158.57777778,218.4,6.91450441829873,7.82222222222,558.466666667,11.6,589.266666667,32.7999999999999
20541,3,-1968005.89082496,1316403.08650848,15.4914718357,1.47887014519957,0,0,185.520700637,752,6.1306232376,44.8406463391,81.2707823944,2772.57142857,94.1428571429,3.39550700742291,8.78571428571,498.214285714,9.92857142857,562.785714286,31.92
20542,3,-1970934.88236223,1321313.85445556,25.440846252,1.17914960704903,0,0,143.145436956,815,6.43590646372,57.2515767316,78.8852918388,2869.57692308,104.692307692,3.6483534157931,8.57692307692,518.115384615,10.1538461538,558.5,23.8636363636363
20543,3,-1977025.6480972,1328475.12630086,17.4230598876,1.92009644530437,2.26967162595,0,65.4591133005,344,5.2024654714,50.0801338155,80.0230385283,2628.5,71.4,2.71637816245006,8.95,467.85,9.35,518.55,27.8387096774193
20545,3,-1987366.5218917,1339828.98700983,72.3682902154,0.741405419546432,0.891599351229,0,200.966986998,661,8.83321673678,33.4940793281,64.3082486371,3014.90769231,131.246153846,4.3532395429805,8.47692307692,524.246153846,11.0615384615,576.061538462,24.140625
20546,3,-1988017.18325515,1350425.21145983,51.1462548319,1.78236371151359,2.58709799146,0,80.9139285142,647,7.68833112451,41.0277142844,75.4206100804,2876.84313725,96.5098039216,3.35471206865503,8.90196078431,506.666666667,10.6666666667,582.470588235,19.5384615384615
20552,3,-2009311.49587517,1374072.09502332,76.4785955884,1.24911455501416,0,0,133.835744134,750,8.80417528359,54.683110839,71.3477511492,3349.2,129.471428571,3.86574192556431,8.61428571429,662.628571429,10.5285714286,552.228571429,23.2189781021897
20553,3,-1972180.24249208,1360107.49322864,66.405516252,0.974799018514778,1.46921392555,0,250.656694276,912,15.5279490611,10.4502814101,31.4487517621,3214.24285714,175.685714286,5.46585065580027,8.45714285714,540.614285714,12.8714285714,624.814285714,26.093220338983
20554,3,-1999316.48120834,1377112.95929716,15.2786513884,1.38248342748397,0,0,248.281553398,664,12.9425848521,13.7306055415,34.5111177316,3530.35294118,184.058823529,5.21360970406203,8.29411764706,728.470588235,11.5294117647,571.941176471,25.2758620689655
20556,4,-1980917.71611206,1369322.13574984,60.2204211903,1.23563762744987,1.9252566565,0,251.156509884,953,19.2370817621,7.79425861939,22.6766505524,3401.92727273,188.854545455,5.5513986724192,8.36363636364,635.854545455,12.4909090909,595.472727273,24.2788461538461
20557,4,-1973623.16661709,1368906.59765149,28.1970165593,1.2120181526781,0,0,382.353319684,1017,19.2494173698,4.58500447253,16.6698050324,3781.86956522,317.347826087,8.39129485071331,7.86956521739,660.434782609,13.5217391304,601.391304348,25.0599999999999
20558,4,-1967297.86526206,1367393.70397439,16.7816020006,1.67769355438296,0,0,426.286414909,928,26.1599047609,1.96448345262,6.98088871002,3802.35294118,336.352941176,8.84591584156357,7.76470588235,604.411764706,13.8823529412,621.294117647,26.90625
20559,4,-1989612.81946187,1373725.06812258,104.217853259,0.939962617515288,1.84197892565,0,283.447202522,1104,19.1627643491,10.2803453328,28.1564634989,3598.03960396,229.128712871,6.36815427542323,8.17821782178,696.722772277,12.3267326733,586.544554455,27.2655367231638
20562,3,-1961544.01745409,1369436.95540903,22.2805228113,1.39096449685513,0,0,257.537892791,647,14.0148992636,11.7994839837,33.5798255305,3424.36842105,244.789473684,7.14845611176793,8.47368421053,478.157894737,14.3684210526,660.263157895,29.054054054054
20565,4,-1962721.61304342,1374405.72677603,18.3422736922,1.33214485610493,0,0,399.232110912,1009,21.576797045,5.19271803216,17.4978190869,3883.44444444,387.055555556,9.96681067782892,8,555.888888889,14.2777777778,639.722222222,27.060606060606
20566,4,-1981850.67071658,1380816.35339074,25.8727842769,1.17194728147205,1.18757596428,0,610.362162162,1318,29.2880050319,1.85910601265,6.41232614849,4762.64,596.04,12.5149076982513,7.04,833.96,13.88,580.56,27.1555555555555
20568,7,-2022508.95127753,1391792.54364589,77.2000165304,1.77576194790215,0,0,34.3737791932,109,2.49425371519,85.1365215258,96.9851801083,3149.19354839,77.1612903226,2.45019206145802,9,618.774193548,10,564.983870968,22.5
20569,3,-1956444.70887401,1377068.47408703,10.5388180686,1.82324756770772,0,0,220.296875,876,15.5305299064,17.5604944038,41.2004123498,2696.2,153,5.67465321563682,8.9,381,14.9,693.9,25.5
20570,4,-1959690.47735228,1380704.21075022,34.5759337164,0.799041800012951,0,0,414.487920417,956,18.2704117922,3.75966048605,15.5937092825,3948.02941176,435.823529412,11.0390142513582,7.52941176471,538.441176471,14.8235294118,630.352941176,28.3387096774193
